KODEGUDANG|NAMAFILE|KODETOKO|TANGGAL
44|NPBGI44T06Q202403231106.ZIP|T06Q|23/03/2024 11:06:34 AM
44|NPBGI44FBUD202403231113.ZIP|FBUD|23/03/2024 11:13:40 AM
44|NPBGI44TYCI202403230956.ZIP|TYCI|23/03/2024 9:56:28 AM
44|NPBGI44FD08202403231345.ZIP|FD08|23/03/2024 1:45:26 PM
44|NPBGI44T95E202403231348.ZIP|T95E|23/03/2024 1:48:01 PM
44|NPBGI44TH5V202403231411.ZIP|TH5V|23/03/2024 2:11:57 PM
44|NPBGI44TTE9202403231414.ZIP|TTE9|23/03/2024 2:14:50 PM
44|NPBGI44F2ZO202403230957.ZIP|F2ZO|23/03/2024 9:57:55 AM
44|NPBGI44TE32202403231412.ZIP|TE32|23/03/2024 2:12:22 PM
44|NPBGI44F52N202403231031.ZIP|F52N|23/03/2024 10:31:25 AM
44|NPBGI44TBG8202403231107.ZIP|TBG8|23/03/2024 11:07:15 AM
44|NPBGI44TBE9202403231335.ZIP|TBE9|23/03/2024 1:35:06 PM
44|NPBGI44TL6E202403231442.ZIP|TL6E|23/03/2024 2:42:36 PM
44|NPBGI44T3BM202403230956.ZIP|T3BM|23/03/2024 9:56:43 AM
44|NPBGI44TS61202403230957.ZIP|TS61|23/03/2024 9:57:26 AM
44|NPBGI44FF89202403231113.ZIP|FF89|23/03/2024 11:13:18 AM
44|NPBGI44TVXN202403230954.ZIP|TVXN|23/03/2024 9:54:30 AM
44|NPBGI44T9LD202403230955.ZIP|T9LD|23/03/2024 9:55:56 AM
44|NPBGI44FYUM202403230958.ZIP|FYUM|23/03/2024 9:58:07 AM
44|NPBGI44T6RK202403230859.ZIP|T6RK|23/03/2024 8:59:16 AM
44|NPBGI44TE32202403231345.ZIP|TE32|23/03/2024 1:45:45 PM
44|NPBGI44TRLQ202403231156.ZIP|TRLQ|23/03/2024 11:56:16 AM
44|NPBGI44T3NC202403231345.ZIP|T3NC|23/03/2024 1:45:05 PM
44|NPBGI44FD08202403231346.ZIP|FD08|23/03/2024 1:46:09 PM
44|NPBGI44TBZ5202403231347.ZIP|TBZ5|23/03/2024 1:47:33 PM
44|NPBGI44T54D202403230916.ZIP|T54D|23/03/2024 9:16:24 AM
44|NPBGI44TGSZ202403230919.ZIP|TGSZ|23/03/2024 9:19:36 AM
44|NPBGI44FDW1202403230946.ZIP|FDW1|23/03/2024 9:46:53 AM
44|NPBGI44TP4Y202403231104.ZIP|TP4Y|23/03/2024 11:04:59 AM
44|NPBGI44F7KW202403231107.ZIP|F7KW|23/03/2024 11:07:41 AM
44|NPBGI44T7H2202403231154.ZIP|T7H2|23/03/2024 11:54:54 AM
44|NPBGI44FJYU202403231157.ZIP|FJYU|23/03/2024 11:57:13 AM
44|NPBGI44F57X202403231031.ZIP|F57X|23/03/2024 10:31:45 AM
44|NPBGI44TXID202403230947.ZIP|TXID|23/03/2024 9:47:09 AM
44|NPBGI44TCRA202403231030.ZIP|TCRA|23/03/2024 10:30:39 AM
44|NPBGI44TL9Z202403231443.ZIP|TL9Z|23/03/2024 2:43:42 PM
44|NPBGI44TJ4L202403231155.ZIP|TJ4L|23/03/2024 11:55:58 AM
44|NPBGI44T5HS202403230918.ZIP|T5HS|23/03/2024 9:18:59 AM
44|NPBGI44T8BH202403231413.ZIP|T8BH|23/03/2024 2:13:54 PM
44|NPBGI44TIDE202403231415.ZIP|TIDE|23/03/2024 2:15:37 PM
44|NPBGI44TWS0202403230946.ZIP|TWS0|23/03/2024 9:46:01 AM
44|NPBGI44TZ6F202403230956.ZIP|TZ6F|23/03/2024 9:56:15 AM
44|NPBGI44TGB7202403231031.ZIP|TGB7|23/03/2024 10:31:04 AM
44|NPBGI44FT78202403231032.ZIP|FT78|23/03/2024 10:32:06 AM
44|NPBGI44TGSP202403231103.ZIP|TGSP|23/03/2024 11:03:21 AM
44|NPBGI44TI11202403231334.ZIP|TI11|23/03/2024 1:34:25 PM
44|NPBGI44TTMV202403231334.ZIP|TTMV|23/03/2024 1:34:48 PM
44|NPBGI44TO4I202403231414.ZIP|TO4I|23/03/2024 2:14:19 PM
44|NPBGI44TBA4202403231443.ZIP|TBA4|23/03/2024 2:43:18 PM
44|NPBGI44TH5Z202403230951.ZIP|TH5Z|23/03/2024 9:51:19 AM
44|NPBGI44FU9P202403230954.ZIP|FU9P|23/03/2024 9:54:44 AM
44|NPBGI44FPYJ202403231336.ZIP|FPYJ|23/03/2024 1:36:37 PM
