PLUIDM|PLUIGR|TAG|RENCENG|MINOR|KDIDM
20062001|1311520|R|1|1|G089
10022402|0608100|N|1|1|G089
10000095||N|0|0|G089
20061766||N|0|1|G089
20060643||R|0|1|G089
20060765||N|0|1|G089
10025654|1201800|N|1|2|G089
20039164||N|0|1|G089
20036134|1152530|N|1|1|G089
20018193|1129790|N|1|1|G089
20030321||N|0|1|G089
20058063|1481840|N|1|2|G089
20016247|1316230||1|24|G089
20070066||R|0|1|G089
20071088|1676030|N|1|1|G089
20071950||N|0|1|G089
20074054|1320610|N|1|1|G089
20075340|1549560|N|1|1|G089
20074296|1686680|N|1|1|G089
20005967||N|0|12|G089
20087588|1336790|R|1|1|G089
20088270|1515400|N|1|1|G089
20093270|1472840|N|1|1|G089
20093269|1472820|N|1|1|G089
20094324|1524850|R|1|1|G089
20092350|1313850|R|1|1|G089
10010648|0467760|R|1|2|G089
20095561|1541790|R|1|1|G089
20056184|1377660|N|1|1|G089
20057816||N|0|1|G089
20117985|1416810||1|1|G089
20045528|1195690|S|1|2|G089
10000021|0000410||1|2|G089
20068906|1557140|D|1|6|G089
20118115|1537700|L|1|2|G089
20090696|1432680|L|1|1|G089
20085776|1822260|Z|1|1|G089
20123059|1569750||1|0|G089
20128047|1798810||1|1|G089
20130595|1701090||1|1|G089
20076007|1351620|N|1|1|G089
20075894|1498360|R|1|2|G089
20072281|1529560|R|1|1|G089
20071789|1335860|N|1|2|G089
20076571|1514920|R|1|1|G089
20078200|1334520|N|1|1|G089
20081583|1294100|N|1|1|G089
20081625|1391280|R|1|1|G089
20083368|1530020|R|1|1|G089
20083621|1304330|N|1|2|G089
20085620|1393280|R|1|1|G089
20085099|1304630|R|1|2|G089
20120441|1627730||1|1|G089
20096520|1495630|R|1|1|G089
20096339|1690670|R|1|1|G089
10013770||N|0|1|G089
10037380|1432470|N|1|2|G089
20062899|1380620|R|1|1|G089
20056946|1188180|N|1|2|G089
20006440||N|0|2|G089
